Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
474.34,1.0,4.9156,0.20343,28.942,29.145,68.583,245.81,317.98,411.92,0.39269,86.822,0.075795,liquid
474.34,1.0,0.34236,2.9209,48.276,51.197,115.07,244.66,280.17,149.5,20.172,10.019,0.035633,vapor
478.15,1.0,0.33465,2.9882,49.272,52.26,117.3,245.46,278.47,152.59,18.997,10.083,0.035908,vapor
483.15,1.0,0.32545,3.0726,50.575,53.648,120.19,246.59,276.9,156.35,17.651,10.17,0.0363,vapor
488.15,1.0,0.31714,3.1532,51.876,55.03,123.04,247.79,275.88,159.81,16.484,10.258,0.036719,vapor
493.15,1.0,0.30954,3.2306,53.177,56.407,125.84,249.04,275.28,163.04,15.46,10.348,0.03716,vapor
498.15,1.0,0.30256,3.3052,54.478,57.783,128.62,250.33,275.01,166.07,14.551,10.438,0.03762,vapor
503.15,1.0,0.29609,3.3774,55.781,59.158,131.37,251.66,275.0,168.93,13.738,10.53,0.038095,vapor
508.15,1.0,0.29007,3.4475,57.086,60.533,134.09,253.01,275.2,171.63,13.007,10.622,0.038584,vapor
513.15,1.0,0.28444,3.5157,58.394,61.91,136.78,254.39,275.56,174.2,12.345,10.714,0.039084,vapor
518.15,1.0,0.27915,3.5823,59.707,63.289,139.46,255.78,276.07,176.66,11.742,10.807,0.039595,vapor
523.15,1.0,0.27416,3.6475,61.024,64.671,142.11,257.19,276.7,179.01,11.191,10.9,0.040114,vapor
528.15,1.0,0.26945,3.7113,62.345,66.056,144.75,258.62,277.42,181.27,10.685,10.994,0.040642,vapor
533.15,1.0,0.26498,3.7739,63.672,67.445,147.36,260.05,278.23,183.44,10.219,11.087,0.041177,vapor
538.15,1.0,0.26073,3.8354,65.003,68.839,149.97,261.5,279.11,185.54,9.7889,11.18,0.041718,vapor
543.15,1.0,0.25668,3.896,66.341,70.237,152.55,262.95,280.05,187.57,9.39,11.274,0.042266,vapor
548.15,1.0,0.25281,3.9556,67.684,71.639,155.12,264.41,281.04,189.54,9.0194,11.367,0.04282,vapor
553.15,1.0,0.2491,4.0144,69.033,73.047,157.68,265.87,282.08,191.45,8.674,11.461,0.043379,vapor
558.15,1.0,0.24555,4.0724,70.388,74.46,160.22,267.34,283.16,193.31,8.3516,11.554,0.043942,vapor
563.15,1.0,0.24215,4.1298,71.749,75.879,162.75,268.81,284.28,195.12,8.0498,11.647,0.044511,vapor
568.15,1.0,0.23887,4.1864,73.117,77.303,165.27,270.28,285.42,196.88,7.7669,11.74,0.045083,vapor
573.15,1.0,0.23571,4.2425,74.491,78.733,167.78,271.75,286.59,198.6,7.5011,11.833,0.04566,vapor
578.15,1.0,0.23267,4.298,75.871,80.169,170.27,273.22,287.79,200.29,7.2509,11.926,0.04624,vapor
583.15,1.0,0.22973,4.3529,77.258,81.611,172.75,274.69,289.0,201.93,7.015,12.019,0.046824,vapor
588.15,1.0,0.22689,4.4074,78.652,83.059,175.23,276.16,290.23,203.54,6.7923,12.111,0.047411,vapor
593.15,1.0,0.22415,4.4614,80.052,84.513,177.69,277.62,291.47,205.12,6.5817,12.204,0.048002,vapor
598.15,1.0,0.22149,4.5149,81.459,85.974,180.14,279.09,292.72,206.67,6.3823,12.296,0.048595,vapor
298.15,1.5,6.796,0.14714,-17.723,-17.502,-52.998,177.86,224.84,1143.0,-0.41375,396.2,0.12288,liquid
303.15,1.5,6.754,0.14806,-16.595,-16.373,-49.243,179.63,226.74,1121.6,-0.40606,375.56,0.12139,liquid
308.15,1.5,6.7118,0.14899,-15.458,-15.235,-45.518,181.43,228.67,1100.3,-0.39815,356.5,0.1199,liquid
